疾病种类分类汇总,疾病种类分类汇总,疾病种类分类汇总,疾病种类分类汇总,疾病种类分类汇总,疾病种类分类汇总
官方口径：115种 = 58种危疾（57严重+1非严重）+ 44种早期危疾 + 13种严重儿童疾病,官方口径：115种 = 58种危疾（57严重+1非严重）+ 44种早期危疾 + 13种严重儿童疾病,官方口径：115种 = 58种危疾（57严重+1非严重）+ 44种早期危疾 + 13种严重儿童疾病,官方口径：115种 = 58种危疾（57严重+1非严重）+ 44种早期危疾 + 13种严重儿童疾病,官方口径：115种 = 58种危疾（57严重+1非严重）+ 44种早期危疾 + 13种严重儿童疾病,官方口径：115种 = 58种危疾（57严重+1非严重）+ 44种早期危疾 + 13种严重儿童疾病
分类,病种数量,默认赔付,美元上限（如有）,保障年期,白话
严重疾病（57种）,57,100% − 已预支,无单独上限,终身（不能独立生活至65岁）,真正的「重疾一次赔清」
　其中：癌症,1,100% − 已预支,后续癌症合计≤600%,终身；10X至85岁,可多次，但是指定规则
　其中：心脏病,1,100% − 已预支,与中风合计≤300%,终身；10X至85岁,10X须新的一次发作
　其中：中风,1,100% − 已预支,与心脏病合计≤300%,终身；10X至85岁,须新的神经损害
　其中：脑退化,1,100% − 已预支,与柏金逊合计≤100%,终身；年金终身,10X须MMSE≤10
　其中：柏金逊症,1,100% − 已预支,与脑退化合计≤100%,终身；年金终身,两种病只能赔其中一次100%
　其中：不能独立生活,1,100% − 已预支,无单独上限,至65岁,65岁后新发不赔此项
　其余严重疾病,51,100% − 已预支,无单独上限,终身,每种1次，不进10X
非严重疾病,1,50%预支,无单独上限,终身,仅「须作手术之脑动脉瘤」
早期危疾（44种）,44,多数20%预支,其中10项上限5万美元；骨质疏松10%,多数终身；骨质疏松至70岁,原位癌可按器官赔2次
　早期危疾·有5万上限,9,20%预支,"50,000美元",终身,含原位癌、通波仔、早期肿瘤等
　早期危疾·骨质疏松,1,10%预支,"50,000美元",至70岁,比例最低的早期项
　早期危疾·其余34种,34,20%预支,产品简介未单列美元上限,终身,次级严重心脏/神经/器官等
严重儿童疾病（13种）,13,20%预支,"每项50,000美元",18岁以下,本方案有；满18岁停止
深切治疗·级别一,1,20%预支,"50,000美元",终身,连续ICU 72小时
深切治疗·级别二,1,100% − 已预支,无单独上限,终身,120小时维生支持+复杂手术
10X多重危疾（额外）,5,每次100%,见第四层规则,至85岁,最多再10次，须先满100%
持续癌症现金（额外）,1,每月5%,最长100个月；癌症合计≤600%,至85岁,与癌症10X二选一
脑退化/柏金逊年金（额外）,2,每年6%,无单独上限,终身,85岁前确诊后隔1年发放
升级保障（额外）,1,+50%保额,升级总额≤50%,首10年,5岁投保适用50%档
按疾病大类看（严重+非严重+早期+儿童，不含ICU/10X）,按疾病大类看（严重+非严重+早期+儿童，不含ICU/10X）,按疾病大类看（严重+非严重+早期+儿童，不含ICU/10X）,按疾病大类看（严重+非严重+早期+儿童，不含ICU/10X）,按疾病大类看（严重+非严重+早期+儿童，不含ICU/10X）,按疾病大类看（严重+非严重+早期+儿童，不含ICU/10X）
疾病大类,严重/非严重,早期危疾,严重儿童疾病,合计,家长怎么理解
癌症,1,2,0,3,原位癌/早期肿瘤先拿20%，真正的「癌」拿100%，还可多次
心脏相关,8,7,3,18,从通波仔、川崎病到心肌梗死、搭桥，按严重程度分层
神经系统,18+1（含脑动脉瘤）,13,3,35,含中风、脑退化、柏金逊、自闭症；脑动脉瘤按50%赔
主要器官和功能,11,9,3,23,肝肾肺胰、移植、严重哮喘、威尔逊病等
其他主要疾病,17,13,4,34,失明失聪烧伤感染、一型糖尿病、登革热等
末期及生活能力,2,0,0,2,末期疾病终身；不能独立生活只到65岁
合计,58,44,13,115,与官方115种口径一致
同一件事不会拿两笔：如果同时符合 ICU 和危疾/早期/儿童病，一般只赔较高的那一档。,同一件事不会拿两笔：如果同时符合 ICU 和危疾/早期/儿童病，一般只赔较高的那一档。,同一件事不会拿两笔：如果同时符合 ICU 和危疾/早期/儿童病，一般只赔较高的那一档。,同一件事不会拿两笔：如果同时符合 ICU 和危疾/早期/儿童病，一般只赔较高的那一档。,同一件事不会拿两笔：如果同时符合 ICU 和危疾/早期/儿童病，一般只赔较高的那一档。,同一件事不会拿两笔：如果同时符合 ICU 和危疾/早期/儿童病，一般只赔较高的那一档。
