武总方案｜友邦「爱伴航」保险计划2｜保障与疾病赔付一览,武总方案｜友邦「爱伴航」保险计划2｜保障与疾病赔付一览,武总方案｜友邦「爱伴航」保险计划2｜保障与疾病赔付一览,武总方案｜友邦「爱伴航」保险计划2｜保障与疾病赔付一览
受保人：5岁男孩　缴费期：25年　产品：标准版（不是「首护挚宝」）　货币：美元　整理依据：友邦官方产品简介,受保人：5岁男孩　缴费期：25年　产品：标准版（不是「首护挚宝」）　货币：美元　整理依据：友邦官方产品简介,受保人：5岁男孩　缴费期：25年　产品：标准版（不是「首护挚宝」）　货币：美元　整理依据：友邦官方产品简介,受保人：5岁男孩　缴费期：25年　产品：标准版（不是「首护挚宝」）　货币：美元　整理依据：友邦官方产品简介
项目,内容,补充,白话提醒
计划书编号,P20260824000027（文件名）,工作区未找到原件PDF,保额、保费、现金价值、分红数字无法填入，本表只整理「怎么赔」
产品全称,「爱伴航」保险计划2 / On Your Side Insurance Plan 2,基本计划、分红危疾,终身人寿+危疾，有保证现金价值和非保证终期分红
不是哪个产品,不是「爱伴航 — 首护挚宝」,也不是「简致·爱伴航」,ADHD、唐氏豁免、黄疸、脐带血等请看「06-本方案没有」表
怎么用本Excel,先看「01-保障结构」再筛「02-疾病赔付明细」,明细表已开筛选,按「保障层级 / 疾病大类 / 是否适用」过滤即可
赔多少钱,实际金额 = 原有保额 × 比例,很多早期病/儿童病/一级ICU还有5万美元封顶,取「比例金额」和「美元上限」中较低者
预支钱包,早期病、儿童病、ICU、严重疾病都从同一个100%保额里扣,扣满100%后基本保费豁免,之后只有癌症/心脏/中风/脑退化/柏金逊可继续额外赔
法律效力,本表是产品简介的白话整理,疾病定义以保单契约为准,不是销售文件、不是核保结论、不是理赔承诺
工作表目录,工作表目录,工作表目录,工作表目录
工作表,里面有什么,给谁看,
00-使用说明,本表,先看这里,
01-保障结构,"整张单怎么分层赔、1,100%怎么理解",给武总先讲结构,
02-疾病赔付明细,115种病 + ICU + 多重赔偿，一行一项,主表，可筛选,
03-分类汇总,按层级/大类统计病种数和赔付规则,一眼看分类,
04-多重赔偿规则,10X、癌症现金、脑退化年金、等候期,宣传数字拆解,
05-其他保障,升级保障、父母身故豁免、分红、不保事项,5岁孩子特别相关,
06-本方案没有,首护挚宝专属项目对照,避免把别的计划书功能算进来,
重要限制（看表前先读）,重要限制（看表前先读）,重要限制（看表前先读）,重要限制（看表前先读）
1. 标准版缮发后90天内首次出现的病征及相关手术，危疾一般不赔（身故除外）。,1. 标准版缮发后90天内首次出现的病征及相关手术，危疾一般不赔（身故除外）。,1. 标准版缮发后90天内首次出现的病征及相关手术，危疾一般不赔（身故除外）。,1. 标准版缮发后90天内首次出现的病征及相关手术，危疾一般不赔（身故除外）。
2. 每种受保疾病原则上只赔1次（原位癌可按不同器官最多2次；10X/癌症现金/年金除外）。,2. 每种受保疾病原则上只赔1次（原位癌可按不同器官最多2次；10X/癌症现金/年金除外）。,2. 每种受保疾病原则上只赔1次（原位癌可按不同器官最多2次；10X/癌症现金/年金除外）。,2. 每种受保疾病原则上只赔1次（原位癌可按不同器官最多2次；10X/癌症现金/年金除外）。
3. 预支总额不能超过原有保额100%。满100%后现金价值和终期分红归零，但10X等额外赔偿仍可按条款继续。,3. 预支总额不能超过原有保额100%。满100%后现金价值和终期分红归零，但10X等额外赔偿仍可按条款继续。,3. 预支总额不能超过原有保额100%。满100%后现金价值和终期分红归零，但10X等额外赔偿仍可按条款继续。,3. 预支总额不能超过原有保额100%。满100%后现金价值和终期分红归零，但10X等额外赔偿仍可按条款继续。
"4. 「最多1,100%」= 第一次严重疾病100% + 指定病最多再10次×100%，不是所有病都能赔11倍。","4. 「最多1,100%」= 第一次严重疾病100% + 指定病最多再10次×100%，不是所有病都能赔11倍。","4. 「最多1,100%」= 第一次严重疾病100% + 指定病最多再10次×100%，不是所有病都能赔11倍。","4. 「最多1,100%」= 第一次严重疾病100% + 指定病最多再10次×100%，不是所有病都能赔11倍。"
5. 癌症合计≤600%；心脏病+中风合计≤300%；脑退化与柏金逊合计只赔1次且≤100%。,5. 癌症合计≤600%；心脏病+中风合计≤300%；脑退化与柏金逊合计只赔1次且≤100%。,5. 癌症合计≤600%；心脏病+中风合计≤300%；脑退化与柏金逊合计只赔1次且≤100%。,5. 癌症合计≤600%；心脏病+中风合计≤300%；脑退化与柏金逊合计只赔1次且≤100%。
6. 这是危疾现金，不是住院医疗报销。普通儿科病房、门诊、自费药账单要另配医疗险。,6. 这是危疾现金，不是住院医疗报销。普通儿科病房、门诊、自费药账单要另配医疗险。,6. 这是危疾现金，不是住院医疗报销。普通儿科病房、门诊、自费药账单要另配医疗险。,6. 这是危疾现金，不是住院医疗报销。普通儿科病房、门诊、自费药账单要另配医疗险。
7. 保费率非保证，终期分红非保证。计划书利益说明上的数字多数是假设情景。,7. 保费率非保证，终期分红非保证。计划书利益说明上的数字多数是假设情景。,7. 保费率非保证，终期分红非保证。计划书利益说明上的数字多数是假设情景。,7. 保费率非保证，终期分红非保证。计划书利益说明上的数字多数是假设情景。
8. 资料来源：友邦香港《「爱伴航」保险计划2 /「爱伴航 – 首护挚宝」保险计划2》产品简介。疾病定义以保单契约为准。,8. 资料来源：友邦香港《「爱伴航」保险计划2 /「爱伴航 – 首护挚宝」保险计划2》产品简介。疾病定义以保单契约为准。,8. 资料来源：友邦香港《「爱伴航」保险计划2 /「爱伴航 – 首护挚宝」保险计划2》产品简介。疾病定义以保单契约为准。,8. 资料来源：友邦香港《「爱伴航」保险计划2 /「爱伴航 – 首护挚宝」保险计划2》产品简介。疾病定义以保单契约为准。
