疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）
共115种受保疾病：57种严重疾病 + 1种非严重疾病 + 44种早期危疾 + 13种严重儿童疾病；并附ICU/10X/年金/升级保障,共115种受保疾病：57种严重疾病 + 1种非严重疾病 + 44种早期危疾 + 13种严重儿童疾病；并附ICU/10X/年金/升级保障,共115种受保疾病：57种严重疾病 + 1种非严重疾病 + 44种早期危疾 + 13种严重儿童疾病；并附ICU/10X/年金/升级保障,共115种受保疾病：57种严重疾病 + 1种非严重疾病 + 44种早期危疾 + 13种严重儿童疾病；并附ICU/10X/年金/升级保障,共115种受保疾病：57种严重疾病 + 1种非严重疾病 + 44种早期危疾 + 13种严重儿童疾病；并附ICU/10X/年金/升级保障,共115种受保疾病：57种严重疾病 + 1种非严重疾病 + 44种早期危疾 + 13种严重儿童疾病；并附ICU/10X/年金/升级保障,共115种受保疾病：57种严重疾病 + 1种非严重疾病 + 44种早期危疾 + 13种严重儿童疾病；并附ICU/10X/年金/升级保障,共115种受保疾病：57种严重疾病 + 1种非严重疾病 + 44种早期危疾 + 13种严重儿童疾病；并附ICU/10X/年金/升级保障,共115种受保疾病：57种严重疾病 + 1种非严重疾病 + 44种早期危疾 + 13种严重儿童疾病；并附ICU/10X/年金/升级保障,共115种受保疾病：57种严重疾病 + 1种非严重疾病 + 44种早期危疾 + 13种严重儿童疾病；并附ICU/10X/年金/升级保障,共115种受保疾病：57种严重疾病 + 1种非严重疾病 + 44种早期危疾 + 13种严重儿童疾病；并附ICU/10X/年金/升级保障,共115种受保疾病：57种严重疾病 + 1种非严重疾病 + 44种早期危疾 + 13种严重儿童疾病；并附ICU/10X/年金/升级保障,共115种受保疾病：57种严重疾病 + 1种非严重疾病 + 44种早期危疾 + 13种严重儿童疾病；并附ICU/10X/年金/升级保障,共115种受保疾病：57种严重疾病 + 1种非严重疾病 + 44种早期危疾 + 13种严重儿童疾病；并附ICU/10X/年金/升级保障
序号,保障层级,保障种类,疾病大类,疾病/保障项目,怎么赔（占原有保额）,保障年期,个人最高限额,可赔次数,是否计入预支100%钱包,是否适用于本方案,适用产品,"可否进入1,100%多重赔偿",白话说明 / 注意点
1,第一层·严重疾病,严重疾病赔偿,癌症,癌,100%减去已预支,终身,无单独美元上限,每种1次；可进入10X多重赔偿,是,适用,标准版爱伴航计划2（本方案）,是,合同定义的恶性肿瘤。早期甲状腺/前列腺肿瘤、部分皮肤癌、原位癌、癌前病变不在此项，走早期危疾。
2,第一层·严重疾病,严重疾病赔偿,心脏相关,心肌病,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,心脏肌肉病变达到合同严重程度。
3,第一层·严重疾病,严重疾病赔偿,心脏相关,冠状动脉手术,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,开胸搭桥等合同列明的冠状动脉手术。通波仔通常走早期危疾。
4,第一层·严重疾病,严重疾病赔偿,心脏相关,心脏病,100%减去已预支,终身,无单独美元上限,每种1次；可进入10X（心脏病最多2次）,是,适用,标准版爱伴航计划2（本方案）,是,合同定义的心肌梗死等。可与中风合计进入多重赔偿。
5,第一层·严重疾病,严重疾病赔偿,心脏相关,心瓣置换及修补,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,需要置换或修补心瓣的严重情况。
6,第一层·严重疾病,严重疾病赔偿,心脏相关,传染性心内膜炎,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,心脏内膜严重感染。次级严重版本走早期危疾。
7,第一层·严重疾病,严重疾病赔偿,心脏相关,其他严重的冠状动脉疾病,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,未做手术但狭窄程度达到合同「严重」标准。
8,第一层·严重疾病,严重疾病赔偿,心脏相关,肺动脉高血压（原发性）,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,原发性肺动脉高压达合同级别。
9,第一层·严重疾病,严重疾病赔偿,心脏相关,主动脉手术,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,主动脉需做合同列明的手术。介入治疗可能走早期危疾。
10,第一层·严重疾病,严重疾病赔偿,神经系统,亚尔兹默氏病 / 不可还原之器质性脑退化疾病,100%减去已预支,终身,无单独美元上限,每种1次；脑退化与柏金逊合计只赔1次；可领终身年金,是,适用,标准版爱伴航计划2（本方案）,是,老年痴呆类。10X还要求 MMSE≤10 分。85岁前确诊才有后续年金。
11,第一层·严重疾病,严重疾病赔偿,神经系统,植物人,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,持续植物人状态达合同日数。
12,第一层·严重疾病,严重疾病赔偿,神经系统,细菌性脑（脊）膜炎,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,严重细菌性脑膜炎。次级严重走早期危疾。
13,第一层·严重疾病,严重疾病赔偿,神经系统,良性脑肿瘤,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,良性但需手术或已造成合同所述神经损害。
14,第一层·严重疾病,严重疾病赔偿,神经系统,昏迷,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,昏迷达合同时长。次级严重昏迷走早期危疾。
