这些是「首护挚宝」才有的，本方案（5岁男孩标准版）没有,这些是「首护挚宝」才有的，本方案（5岁男孩标准版）没有,这些是「首护挚宝」才有的，本方案（5岁男孩标准版）没有,这些是「首护挚宝」才有的，本方案（5岁男孩标准版）没有,这些是「首护挚宝」才有的，本方案（5岁男孩标准版）没有,这些是「首护挚宝」才有的，本方案（5岁男孩标准版）没有
避免把别的计划书或宣传册功能算进武总这一份。文件名是「爱伴航保险计划2」，不是「爱伴航 — 首护挚宝」。,避免把别的计划书或宣传册功能算进武总这一份。文件名是「爱伴航保险计划2」，不是「爱伴航 — 首护挚宝」。,避免把别的计划书或宣传册功能算进武总这一份。文件名是「爱伴航保险计划2」，不是「爱伴航 — 首护挚宝」。,避免把别的计划书或宣传册功能算进武总这一份。文件名是「爱伴航保险计划2」，不是「爱伴航 — 首护挚宝」。,避免把别的计划书或宣传册功能算进武总这一份。文件名是「爱伴航保险计划2」，不是「爱伴航 — 首护挚宝」。,避免把别的计划书或宣传册功能算进武总这一份。文件名是「爱伴航保险计划2」，不是「爱伴航 — 首护挚宝」。
类别,项目,若在首护挚宝怎么赔,保障年期,限额,为什么本方案没有
儿童成长保障,天使综合症,5%预支,18岁以下,"12,500美元",本方案（标准版）没有。只在「首护挚宝」。
儿童成长保障,专注力不足 / 过度活跃症（ADHD）,5%预支,18岁以下,"12,500美元",本方案没有。与自闭症不是同一项。
儿童成长保障,妥瑞症,5%预支,18岁以下,"12,500美元",本方案没有。ADHD+妥瑞+自闭症合计还有20%/5万美元总上限。
儿童成长保障,大理石骨病,20%预支,18岁以下,"50,000美元",本方案没有。
儿童成长保障,严重脑痫症,20%预支,18岁以下,"50,000美元",本方案没有。
初生专属,严重黄疸保障,每日额外0.1%，最多7日,出生后30日内,每日250美元,本方案没有。5岁孩子不适用。
初生专属,脐带血干细胞移植保障,额外10%,18岁以下,"35,000美元",本方案没有。须已获癌症严重/10X赔偿且医生建议移植。
初生专属,唐氏综合症豁免缴付保费,豁免基本保单剩余定期保费,确诊后,不适用,本方案没有。且须产前无创检查为低风险。
标准版仍然有、不要漏掉的儿童相关保障,标准版仍然有、不要漏掉的儿童相关保障,标准版仍然有、不要漏掉的儿童相关保障,标准版仍然有、不要漏掉的儿童相关保障,标准版仍然有、不要漏掉的儿童相关保障,标准版仍然有、不要漏掉的儿童相关保障
类别,项目,怎么赔,年期,限额,白话
严重儿童疾病,13种（见明细表）,每项20%预支,18岁以下,"50,000美元",自闭症有；ADHD没有
升级保障,前10年+50%,重疾/二级ICU/身故额外,约5–15岁,升级总额≤50%,小孩投保最划算的加量
父母身故豁免,基本保费免到25岁,持有人父母75岁前身故,满2年后,附加契约不免,家长必须写在持有人栏
先天性疾病,缮发时未发现的先天性疾病后来变成危疾,按对应危疾比例,视疾病,视疾病,已有病征或未披露不赔
终身危疾,57+1+44种,按明细表,多数终身,视项目,18岁后儿童病停，这些继续
