升级保障、父母豁免、分红、不保事项（5岁方案特别相关）,升级保障、父母豁免、分红、不保事项（5岁方案特别相关）,升级保障、父母豁免、分红、不保事项（5岁方案特别相关）,升级保障、父母豁免、分红、不保事项（5岁方案特别相关）,升级保障、父母豁免、分红、不保事项（5岁方案特别相关）
这些不一定出现在「115种病」名单里，但理赔和保单能不能续得住，往往卡在这里。,这些不一定出现在「115种病」名单里，但理赔和保单能不能续得住，往往卡在这里。,这些不一定出现在「115种病」名单里，但理赔和保单能不能续得住，往往卡在这里。,这些不一定出现在「115种病」名单里，但理赔和保单能不能续得住，往往卡在这里。,这些不一定出现在「115种病」名单里，但理赔和保单能不能续得住，往往卡在这里。
类别,项目,规则,对5岁男孩,白话
升级保障,赔偿额档位,投保时≤30岁：额外50%原有保额；≥31岁：35%,5岁=50%档,前10年（大约到15岁）重疾/二级ICU/身故可多拿半倍保额
升级保障,非严重疾病时,只给升级保障额的50%,即额外25%保额,只有脑动脉瘤手术走这条
升级保障,何时结束,赔满50%、满10年、保单终止、或转换退保，以先到为准,约15岁结束,第9周年日起可不体检把剩余额度转成寿险/危疾寿险，要另缴费
父母身故豁免,谁算父母,保单持有人或第二持有人，且须为受保子女父母；成为持有人时≤50岁,投保时把父母写上,只当受益人不够
父母身故豁免,等候期,保单生效满2年（或父母中途加入持有人后再满2年）,买完立刻身故不免,75岁前身故才适用
父母身故豁免,免到什么时候,免基本保单剩余定期保费，直至孩子25岁,本单缴到约30岁,25–30岁这几年若仍在缴费期，仍要交；附加契约一直要交
配偶身故豁免,不适用本方案,只适用于投保时受保人已满18岁,5岁投保没有,孩子成年后新买的单才可能有
身故赔偿,普通身故,现时保额 + 满5年后终期分红（如有）,终身,若已预支过，只剩剩余保额
身故赔偿,自杀,生效1年内自杀只退已交保费（扣欠款、不含利息）,首年,标准条款
现金价值,保证现金价值,退保或减额缴清时按表给付,早年很少,早年退保往往远少于已交保费
终期分红,非保证,满5年后可能每年公布；退保/身故/预支赔偿时发放,不保证，退保时往往更少，可为0,预支满100%后不再公布分红
保费,缴费期25年,年缴/半年缴/季缴/月缴；费率非保证，缴费期内可调整,缴到约30岁,不会因孩子长大按新年龄自动加价，但整单费率仍可能变
保费,额外保费选项,投保时可选首年多付一笔，全程总保费较低；选定不能改,看计划书有没有勾,本表未见PDF，无法确认这份方案有没有选
货币,美元保单,交费和赔付都是美元,有汇率风险,人民币家长要考虑换汇成本
先天性,未发现的先天性疾病,缮发时病征未出现，后来变成受保危疾，可以赔,适用,已经有的病、没披露、核保除外，不赔
不保·危疾,90天病征,缮发前或缮发后90天内首次出现的病征/手术（身故除外）,标准版硬性,首护挚宝初生窗口不同，本方案是标准版
不保·危疾,艾滋病/HIV相关,因艾滋病或HIV导致的暴发性肝炎或癌病不赔,职业感染、输血感染另有列明项,普通HIV相关癌症不在癌症保障范围
不保·危疾,自致伤害,自己造成的伤害,—,—
不保·危疾,投保前已存在且未披露的疾病,健康声明没写的旧病,核保关键,一定要如实告知
不保·ICU,整形（意外90天内除外）、妊娠相关、精神病行为问题、纯检查化验、实验性治疗,直接或间接由这些导致的ICU不赔,小孩较相关的是「纯检查」和「实验性治疗」,ICU还必须是合理惯常、医疗所需住院
不保·ICU,内地医院名单,中国大陆ICU须在指定医院,出差/回内地看病要注意,名单以aia.com.hk为准，公司可改
增值服务,全助你 / 一站式肿瘤支援,非保证、可改可停，不构成合约保障,危疾没有出院免找数,不能当成医疗险来用
冷静期,取消投保权,签收新保单后冷静期内可书面取消并退保费及征费,香港保单另有保监局征费,以保单文件载明的冷静期为准
