10X多重赔偿、持续癌症现金、脑退化年金,10X多重赔偿、持续癌症现金、脑退化年金,10X多重赔偿、持续癌症现金、脑退化年金,10X多重赔偿、持续癌症现金、脑退化年金,10X多重赔偿、持续癌症现金、脑退化年金,10X多重赔偿、持续癌症现金、脑退化年金
须先把预支钱包用到100%，这些才启动。等候期、生存期、次数上限都在这张表。,须先把预支钱包用到100%，这些才启动。等候期、生存期、次数上限都在这张表。,须先把预支钱包用到100%，这些才启动。等候期、生存期、次数上限都在这张表。,须先把预支钱包用到100%，这些才启动。等候期、生存期、次数上限都在这张表。,须先把预支钱包用到100%，这些才启动。等候期、生存期、次数上限都在这张表。,须先把预支钱包用到100%，这些才启动。等候期、生存期、次数上限都在这张表。
规则类型,条件,等候期,生存期,赔付,白话
10X启动前提,危疾+早期+儿童病+ICU 预支合计已达原有保额100%,见下列分项,确诊日起生存超过15日,之后每次额外100%，最多再10次，至85岁,钱包没掏空，10X不会开始
10X·两次都是癌症,上次已因癌症拿过严重疾病或10X,通常3年,15日,每次100%，癌症合计≤600%,含第一次严重疾病在内最多6次癌症
10X·上次严重疾病/二级ICU后换另一种严重疾病,例如先癌症后心脏病,1年,15日,每次100%,儿童病/早期病/一级ICU之后再赔严重疾病，等候期不适用
10X·癌症与非癌症交错,先前癌症 + 非癌症严重疾病或二级ICU，之后再癌症,1年和3年都适用，取较晚者,15日,每次100%,不要只记「隔一年」
10X·心脏病再次,必须是新的一次心脏事故，全新诊断,按上面1年/3年规则,15日,心脏病最多2次（含第一次）,同一次病拖着不会再赔一次
10X·中风再次,新的脑血管意外 + 新的或更严重神经功能障碍,按上面1年/3年规则,15日,中风最多2次（含第一次）；与心脏合计最多3次,后遗症加重但不是新中风，通常不够
10X·脑退化,MMSE（满分30）≤10分,按上面规则,15日,与柏金逊合计只1次,早期脑退化走20%早期危疾，不是这100%
10X·70岁后前列腺癌再索赔,曾经赔过前列腺癌，70岁后仍是同一癌症,额外要求：期间已接受或正接受手术/电疗/化疗/标靶（不含激素治疗）,15日,才可能再给10X,只吃激素治疗不够
持续癌症现金,已因癌症拿过严重疾病或10X；85岁前仍患癌；积极治疗或末期,隔1年,其后确诊日起生存超过15日,每月5%，最长100个月或到85岁；癌症合计仍≤600%,一开始领月付，癌症就不能再走10X。每6个月交专科报告。
脑退化/柏金逊年金,85岁前已获严重疾病或10X赔偿,隔1年（取赔偿日或提交MMSE报告日较后者）,每年发钱前1–2个月交在生证明,每年额外6%直至身故或保单终止,"不占用1,100%额度。保单终止年金就停。"
"假设原有保额 100,000 美元时，指定病最多能拿多少（仅作理解比例，不是本计划书保额）","假设原有保额 100,000 美元时，指定病最多能拿多少（仅作理解比例，不是本计划书保额）","假设原有保额 100,000 美元时，指定病最多能拿多少（仅作理解比例，不是本计划书保额）","假设原有保额 100,000 美元时，指定病最多能拿多少（仅作理解比例，不是本计划书保额）","假设原有保额 100,000 美元时，指定病最多能拿多少（仅作理解比例，不是本计划书保额）","假设原有保额 100,000 美元时，指定病最多能拿多少（仅作理解比例，不是本计划书保额）"
病种,第一次（预支钱包）,之后最多再拿,合计上限,折合美元（假设10万保额）,还可能有的额外
癌症,"100,000（若无前期预支）","最多再5次×100,000，或改月付5,000","600,000",60万美元,"前10年升级保障+50,000；与10X二选一的月付"
心脏病,"100,000","最多再1次×100,000","300,000（还要和中风共享）",最多30万美元（与中风合计）,"前10年升级+50,000"
中风,"100,000","最多再1次×100,000","300,000（与心脏病共享）",最多30万美元（与心脏合计）,"前10年升级+50,000"
心脏+中风组合,"先到的那次100,000",两者合计最多再2次,"300,000",30万美元,各病最多2次、合计3次
脑退化或柏金逊,"100,000",10X不能再因另一种再拿100%,"100,000",10万美元,"隔1年后每年6,000直至身故"
严重哮喘（儿童）,"20,000（或5万上限孰低）",不能进10X,预支钱包内20%,2万美元,满18岁后新发不再用儿童病条款
一级ICU 72小时,"20,000（或5万上限孰低）",不能进10X,预支钱包内20%,2万美元,港澳以外可能只有10%
注意：上表10万美元只是为了把百分比换算成金额，方便武总理解。P20260824000027计划书的真实保额须以PDF利益说明为准。,注意：上表10万美元只是为了把百分比换算成金额，方便武总理解。P20260824000027计划书的真实保额须以PDF利益说明为准。,注意：上表10万美元只是为了把百分比换算成金额，方便武总理解。P20260824000027计划书的真实保额须以PDF利益说明为准。,注意：上表10万美元只是为了把百分比换算成金额，方便武总理解。P20260824000027计划书的真实保额须以PDF利益说明为准。,注意：上表10万美元只是为了把百分比换算成金额，方便武总理解。P20260824000027计划书的真实保额须以PDF利益说明为准。,注意：上表10万美元只是为了把百分比换算成金额，方便武总理解。P20260824000027计划书的真实保额须以PDF利益说明为准。
