保障结构：把保额想成一个大钱包,保障结构：把保额想成一个大钱包,保障结构：把保额想成一个大钱包,保障结构：把保额想成一个大钱包,保障结构：把保额想成一个大钱包,保障结构：把保额想成一个大钱包
"5岁男孩 · 缴25年 · 标准版爱伴航计划2　｜　先扣钱包（预支满100%），再谈额外的1,100%和年金","5岁男孩 · 缴25年 · 标准版爱伴航计划2　｜　先扣钱包（预支满100%），再谈额外的1,100%和年金","5岁男孩 · 缴25年 · 标准版爱伴航计划2　｜　先扣钱包（预支满100%），再谈额外的1,100%和年金","5岁男孩 · 缴25年 · 标准版爱伴航计划2　｜　先扣钱包（预支满100%），再谈额外的1,100%和年金","5岁男孩 · 缴25年 · 标准版爱伴航计划2　｜　先扣钱包（预支满100%），再谈额外的1,100%和年金","5岁男孩 · 缴25年 · 标准版爱伴航计划2　｜　先扣钱包（预支满100%），再谈额外的1,100%和年金"
层级,保障名称,典型赔付,保障年期,会不会扣100%钱包,白话
第0层 保费豁免,危疾豁免缴付保费,预支多少，保费按剩余保额减少；满100%后基本保费全免,缴费期内,同步减少现时保额,附加契约保费不免。孩子生病后保费会跟着降。
第0层 保费豁免,父母身故豁免缴付保费,持有人/第二持有人（须为父母、投保时≤50岁）于75岁前身故，免基本保费至孩子25岁,保单满2年后生效，免到孩子25岁,不扣钱包,本方案孩子5岁投保，这项有。父母必须写在持有人位置。
第一层 严重/非严重,57种严重疾病,100% − 已预支,多数终身；「不能独立生活」至65岁,扣钱包,癌症、心脏病、中风、器官移植等。把钱包基本掏空。
第一层 严重/非严重,1种非严重疾病：须作手术之脑动脉瘤,50%预支,终身,扣钱包,前10年赔此项时，升级保障只给一半。
第二层 早期/儿童,44种早期危疾,多数20%预支（骨质疏松10%）,多数终身；骨质疏松至70岁,扣钱包,通波仔、原位癌、早期肿瘤等。部分项目有5万美元封顶。
第二层 早期/儿童,13种严重儿童疾病,20%预支，上限5万美元,18岁以下,扣钱包,严重哮喘、川崎病、一型糖尿病、自闭症等。满18岁这项停。
第三层 ICU,级别一 ICU,20%预支，上限5万美元,终身,扣钱包,连续住ICU满72小时。港澳以外可能只按保额10%。
第三层 ICU,级别二 ICU,100% − 已预支,终身,扣钱包,ICU+侵入性维生支持满120小时 + 复杂手术。
第四层 多重,10X多重危疾赔偿,预支满100%后，指定病每次再100%，最多再10次,至85岁,不扣钱包（额外）,"仅限癌症、心脏病、中风、脑退化、柏金逊。宣传1,100%指这一层。"
第五层 细水长流,持续癌症现金选项,每月5%，最长100个月,至85岁,不扣钱包（额外）,与癌症10X二选一。癌症合计仍≤600%。
第五层 细水长流,脑退化/柏金逊终身年金,每年额外6%直至身故,终身（须85岁前确诊）,不扣钱包（额外）,隔1年才开始发，每年要交在生证明。
附加 前10年,升级保障,严重疾病/二级ICU/身故时额外+50%保额,首10个保单年度,不扣钱包,5岁投保属于「30岁或以下」档，是50%不是35%。
附加 65岁后,双倍早期危疾,再给一笔早期危疾赔偿，上限2.5万美元,65岁后且已缴清且从未预支,扣钱包,现在用不上；中途预支过就失效。
没生病时,身故赔偿 / 退保,现时保额 + 满5年后可能有的终期分红；退保=现金价值+分红,终身,—,分红不保证。早年退保往往远少于已交保费。
"「最多赔原有保额 1,100%」怎么算（不含升级保障、年金、黄疸、脐带血）","「最多赔原有保额 1,100%」怎么算（不含升级保障、年金、黄疸、脐带血）","「最多赔原有保额 1,100%」怎么算（不含升级保障、年金、黄疸、脐带血）","「最多赔原有保额 1,100%」怎么算（不含升级保障、年金、黄疸、脐带血）","「最多赔原有保额 1,100%」怎么算（不含升级保障、年金、黄疸、脐带血）","「最多赔原有保额 1,100%」怎么算（不含升级保障、年金、黄疸、脐带血）"
步骤,什么病,每次赔,次数上限,合计上限,白话
A. 第一次严重疾病,任何受保严重疾病（如癌症）,100% − 已预支,1次,100%,钱包掏空，基本保费停缴
B. 之后额外10次,仅癌症/心脏病/中风/脑退化/柏金逊,每次100%,最多再10次,"1,000%",必须预支已满100%，且过等候期、活过15天
A+B 宣传上限,上述指定病组合,—,最多11次,"1,100%",不是哮喘、自闭症、通波仔能凑出来的
其中：癌症,癌,100%/次 或 改月付5%,含第一次最多6次,≤600%,含严重疾病+10X+持续癌症现金
其中：心脏+中风,心脏病、中风,100%/次,合计最多3次（各最多2）,≤300%,必须是新的一次发作
其中：脑退化/柏金逊,两种合计,100%,只赔1次,≤100%,之后可改每年领6%年金（额外）
5岁男孩时间轴（按本方案：现在5岁、缴25年到约30岁、升级保障前10年到约15岁）,5岁男孩时间轴（按本方案：现在5岁、缴25年到约30岁、升级保障前10年到约15岁）,5岁男孩时间轴（按本方案：现在5岁、缴25年到约30岁、升级保障前10年到约15岁）,5岁男孩时间轴（按本方案：现在5岁、缴25年到约30岁、升级保障前10年到约15岁）,5岁男孩时间轴（按本方案：现在5岁、缴25年到约30岁、升级保障前10年到约15岁）,5岁男孩时间轴（按本方案：现在5岁、缴25年到约30岁、升级保障前10年到约15岁）
孩子大约几岁,保单阶段,特别有用的保障,已经停的,家长动作,备注
缮发后90天内,等候期,身故仍可能赔,危疾：缮发后90天内首次病征一般不赔,如实健康申报,标准版硬性窗口
5–15岁,升级保障有效,严重疾病/二级ICU/身故额外+50%,—,出险尽快报案,这10年是加量期
5–18岁,儿童病有效,13种严重儿童疾病各20%,—,川崎病、严重哮喘、一型糖尿病等对照合同,满18岁儿童病停，终身危疾继续
5–25岁,父母身故可免保费,持有人父母75岁前身故可免到25岁,附加契约不免,父母须为持有人或第二持有人,保单须已生效满2年
约15岁,升级保障结束,可在第9周年日起把剩余升级保障转成寿险/危疾寿险,50%额外没有了,评估要不要转换（要另缴费）,不转就作废
约30岁,缴完25年,保障继续终身，不用再交基本保费,—,保管保单、更新受益人,费率调整只发生在缴费期内
18岁以后,成人危疾,早期危疾+严重疾病+10X+ICU,13种儿童病,可考虑加医疗险,自闭症等儿童项不再赔新单
65岁以后,双倍早期危疾可能启动,从未预支过且已缴清,不能独立生活（只到65岁）,—,中途赔过早期病就没这项
至85岁,10X与癌症现金截止,脑退化年金若已启动可继续,10X、持续癌症现金,—,85岁后新发癌症不再走10X
